Pu,Ca,NAC,sample_n,tr,pooled_striatum
0.5853172,0.18976772,-0.22281073,315,236.25,0.55227417
1.6074463,1.1558368,0.18044266,316,237.0,2.9437258
0.72511876,0.4120253,-0.9823465,317,237.75,0.15479761
0.4931678,0.310451,-0.4404774,318,238.5,0.3631414
1.2981149,0.90524054,0.16751973,319,239.25,2.3708751
1.3224578,1.0360348,0.97593987,320,240.0,3.3344326
1.4499928,0.88812596,-0.13211499,321,240.75,2.206004
-0.17551355,0.6041353,0.7167834,322,241.5,1.145405
-0.48965916,0.20400669,0.18686491,323,242.25,-0.098787546
0.5176467,0.19510153,-0.3208462,324,243.0,0.39190197
-0.741982,-0.5708801,0.24216376,325,243.75,-1.0706984
-2.02356,-0.7329816,0.06838644,326,244.5,-2.6881552
-1.6725057,-1.0872394,-0.7227116,327,245.25,-3.4824567
-1.2653948,-1.5362072,-0.2398897,328,246.0,-3.0414915
-1.7249993,-1.4836112,-0.26432407,329,246.75,-3.4729347
-1.0908332,-1.1650667,-0.55370986,330,247.5,-2.80961
0.6499142,0.23025832,-0.6005398,331,248.25,0.2796327
2.1385293,0.9535231,-0.29965824,332,249.0,2.7923942
1.6157148,1.3327339,-0.13389502,333,249.75,2.8145537
2.5346518,2.2417545,0.32362214,334,250.5,5.1000285
2.0700154,2.5388246,-0.173644,335,251.25,4.435196
1.3314606,2.8351061,0.6675226,336,252.0,4.8340893
-0.5793334,1.0145141,0.2617991,337,252.75,0.69697976
-1.1895647,1.0629822,0.16980948,338,253.5,0.043226972
-1.0046948,0.264673,0.34727234,339,254.25,-0.3927495
-1.3593665,-0.5440719,0.27950537,340,255.0,-1.6239331
-2.132355,-1.3435407,0.86124104,341,255.75,-2.6146545
-2.467335,-1.5943689,0.038400233,342,256.5,-4.0233035
-1.175095,-0.8614105,-0.3959372,343,257.25,-2.4324427
-1.1242604,-0.9729567,-0.4626377,344,258.0,-2.5598547
0.42933232,-0.46160656,-0.22265391,345,258.75,-0.25492817
1.6908106,1.0666927,-1.0720228,346,259.5,1.6854805
1.332603,1.3812484,0.5382776,347,260.25,3.252129
0.790559,0.7897055,-0.30926418,348,261.0,1.2710004
0.25555947,1.2799523,0.49836397,349,261.75,2.0338757
0.27185154,1.4250784,0.384018,350,262.5,2.0809479
-0.27614895,0.15433267,0.45679572,351,263.25,0.33497944
-1.7377012,-1.2660381,0.26455933,352,264.0,-2.73918
-0.296548,-1.0374726,-0.39192232,353,264.75,-1.725943
-0.31798062,-1.1046786,0.015236195,354,265.5,-1.4074231
-0.33653018,-1.1188712,-0.10840204,355,266.25,-1.5638034
-0.72732186,-1.1132128,0.15731,356,267.0,-1.6832247
0.81890005,-0.39518902,0.3280291,357,267.75,0.7517401
0.73681426,-0.77936256,-0.09961947,358,268.5,-0.14216778
0.95872885,-0.6098865,-0.26730388,359,269.25,0.08153844
1.0465536,0.36462396,-0.82786727,360,270.0,0.58331037
1.9569503,0.42672807,0.38885626,361,270.75,2.7725346
1.4685152,0.59931165,0.24793516,362,271.5,2.3157618
1.9816196,1.438668,0.3641631,363,272.25,3.7844508
1.8238668,2.3528833,0.20174824,364,273.0,4.3784986
2.1817207,1.7091618,0.10521836,365,273.75,3.996101
0.56249744,1.3192834,0.42551565,366,274.5,2.3072965
0.16754432,1.6193683,-0.4061783,367,275.25,1.3807344
0.34751847,0.8653065,-0.016616315,368,276.0,1.1962086
-0.99414164,-0.06834236,-0.23577288,369,276.75,-1.2982569
-0.62823683,-0.14672619,-0.4137376,370,277.5,-1.1887007
0.029211462,-0.05911254,0.12694739,371,278.25,0.09704631
-0.4211455,-0.4683318,0.103454,372,279.0,-0.7860233
-0.63838196,-0.7438811,0.46512347,373,279.75,-0.9171396
-0.26021048,-0.16040857,-0.23957604,374,280.5,-0.6601951
1.2584591,1.0918311,0.37863868,375,281.25,2.728929
0.71717674,0.8691561,-0.019290294,376,282.0,1.5670425
-0.33269516,0.72825074,0.3326321,377,282.75,0.7281877
-0.69068515,0.28007147,0.8481456,378,283.5,0.43753192
-0.08268421,0.07344426,0.2988898,379,284.25,0.28964984
-0.5823525,-0.65733427,0.48773077,380,285.0,-0.751956
-0.86962575,-0.02873301,0.10888038,381,285.75,-0.78947836
-1.097225,-0.36541244,0.109060735,382,286.5,-1.3535767
-1.2238895,-0.37083903,-0.045590963,383,287.25,-1.6403195
-1.9476211,-1.29549,-0.007010375,384,288.0,-3.2501216
-2.9139385,-1.6712222,0.033091478,385,288.75,-4.552069
-2.0301967,-1.5476633,-0.09163674,386,289.5,-3.6694965
-1.6910009,-1.3858864,0.7757521,387,290.25,-2.3011353
-1.6087247,-2.3661017,-0.123120695,388,291.0,-4.097947
-1.3695116,-2.0398116,-0.41810536,389,291.75,-3.8274286
0.013463383,-1.3424275,0.34666854,390,292.5,-0.9822956
-0.59619665,-0.90709573,0.033412986,391,293.25,-1.4698794
-0.88235474,-0.44769228,0.33152643,392,294.0,-0.9985206
-0.23426287,0.17821887,0.7400886,393,294.75,0.6840446
-0.26586783,0.048723206,0.5856878,394,295.5,0.3685432
-0.81979764,-0.06263749,1.0049459,395,296.25,0.12251073
-0.79724985,-0.24964555,1.2865999,396,297.0,0.23970449
0.37814426,-0.3801152,0.9980767,397,297.75,0.99610573
-0.57889825,-0.08346255,0.49281213,398,298.5,-0.16954866
-0.8050831,-0.50872964,0.86946684,399,299.25,-0.4443459
-0.10898541,0.12775637,0.9714153,400,300.0,0.9901862
0.4279452,0.07093969,1.015877,401,300.75,1.5147619
-0.37705633,-0.5066889,0.81514823,402,301.5,-0.06859696
-0.56587005,-0.6329842,0.5831236,403,302.25,-0.6157306
-0.64542645,-0.42004922,1.4097598,404,303.0,0.34428406
0.28882357,-0.2589681,1.6440506,405,303.75,1.6739061
-0.0028286704,0.062034544,0.12788053,406,304.5,0.1870864
0.5899138,0.1052616,0.98960775,407,305.25,1.6847832
0.7145113,0.28865194,0.71566993,408,306.0,1.7188332
-0.6575299,0.25117612,0.82570297,409,306.75,0.4193492
0.27587697,0.43206188,0.97127414,410,307.5,1.679213
1.369974,0.57793003,0.9485022,411,308.25,2.8964062
0.9631895,0.085085884,0.89133704,412,309.0,1.9396124
0.40449986,0.36643282,1.072258,413,309.75,1.8431907
1.6514267,0.71030134,0.8542934,414,310.5,3.2160213
0.24734546,0.26096252,0.7162423,415,311.25,1.2245502
0.9506508,0.5039524,0.22260685,416,312.0,1.6772101
1.013616,0.2944032,0.551969,417,312.75,1.8599882
0.3734117,0.32696262,0.14987618,418,313.5,0.8502505
-0.22490649,-0.59054565,0.05707104,419,314.25,-0.7583811
0.23535082,-0.12942609,0.6923647,420,315.0,0.7982894
0.7149736,-0.067739405,0.87695557,421,315.75,1.5241897
0.2576266,-0.8867809,1.253681,422,316.5,0.6245266
-0.22384574,-0.722314,0.75920635,423,317.25,-0.18695337
-0.03606555,-1.1141868,0.4047825,424,318.0,-0.7454698
-0.74750334,-0.583403,0.9671024,425,318.75,-0.36380398
-0.7661617,-1.2196107,0.22322634,426,319.5,-1.7625461
-1.1155841,-1.1079253,0.61462325,427,320.25,-1.608886
-0.105041586,-0.9409075,0.35770166,428,321.0,-0.68824744
-0.25629386,-1.0652548,0.6792222,429,321.75,-0.6423265
-0.89084077,-0.52064955,0.2745495,430,322.5,-1.1369408
0.49776438,0.36791703,0.35810158,431,323.25,1.223783
0.549442,0.3405986,0.65406644,432,324.0,1.5441071
-0.2468015,0.75478065,0.66026914,433,324.75,1.1682483
-0.04710824,0.8382664,0.41296127,434,325.5,1.2041194
0.7920549,1.0680377,0.88327587,435,326.25,2.7433686
0.8232519,1.9194531,0.100489885,436,327.0,2.843195
